Sembol,Açıklama,Fiyat,Fiyat - Döviz,"Fiyat değişimi %, 1 gün","Hacim, 1 gün","Bağıl hacim, 1 gün",Piyasa değeri,Piyasa değeri - Döviz,Fiyatın kazanca oranı,"Seyreltilmiş hisse başına kar, Son 12 ay","Seyreltilmiş hisse başına kar, Son 12 ay - Döviz","Seyreltilmiş hisse başına kar büyümesi %, TTM YY","Temettü verimi %, Son 12 ay",Sektör,Analist derecelendirmesi
PETKM,PETKİM PETROKİMYA HOLDİNG A.Ş.,20.24,TRY,3.265306122448964,97056514,1.1537918543294714,49674239053,TRY,,-2.7417,TRY,31.194318267372704,0,İşlenebilen endüstriler,Sat
PETUN,PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,10.58,TRY,-2.0370370370370425,1010560,0.9393603377741084,3276126071,TRY,14.591090884016,0.7251,TRY,153.70888733379985,2.26851851851852,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
PGSUS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,156.5,TRY,-1.5103838892385182,10401730,0.9116848026270775,79449996948,TRY,9.07088622268591,17.253,TRY,-53.52051207448356,0,Taşımacılık,Al
PINSU,PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,10.39,TRY,-0.28790786948175967,2036219,0.8048604389290467,2962282195,TRY,51.43564356435643,0.202,TRY,70.8967851099831,0,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
PKART,PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,119.2,TRY,-3.7156704361873945,304999,0.6213795608645313,2816450069,TRY,30.874430169912973,3.8608,TRY,176.58141700694893,0,Ticari hizmetler,Derecelendirme yok
PKENT,PETROKENT TURİZM A.Ş.,122.9,TRY,-2.2275258552108173,188309,1.0282377840487174,3127818125,TRY,806.4304461942257,0.1524,TRY,-22.08588957055214,0,Tüketici hizmetleri,Derecelendirme yok
PLTUR,PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,20.7,TRY,-0.7670182166826469,799406,0.7144154259667772,5105485149,TRY,8.95638629283489,2.3112,TRY,-24.113475177304963,3.6431447746884,Taşımacılık,Derecelendirme yok
PNLSN,PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,47.3,TRY,0.3820033955857379,1288190,1.167473793490028,3533999920,TRY,12.99057976984977,3.6411,TRY,,1.45999575551783,Enerji-dışı mineraller,Derecelendirme yok
PNSUT,PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,10.51,TRY,-0.8490566037735837,1473660,0.9985625242329235,3335368016,TRY,,-3.1895,TRY,34.260156233897405,0,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
POLHO,POLİSAN HOLDİNG A.Ş.,21.04,TRY,0.1904761904761864,934728,0.45609919369913987,15928500000,TRY,,-2.1437,TRY,-67.75178026449643,0,İşlenebilen endüstriler,Derecelendirme yok
POLTK,POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,4377.5,TRY,0.40137614678899086,5503,0.7880567091507947,16350000000,TRY,,-5.5849,TRY,1.7400330764629217,0,İşlenebilen endüstriler,Derecelendirme yok
PRDGS,PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,7.74,TRY,-0.12903225806451338,15128224,1.39446028986997,1519000000,TRY,155.11022044088176,0.0499,TRY,-84.28346456692914,0,Finans,Derecelendirme yok
PRKAB,TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,33.96,TRY,-0.23501762632196915,710381,0.5158264342849026,7343573910,TRY,,-1.3044,TRY,59.54596203944919,0,Üretici imalatı,Derecelendirme yok
PRKME,PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,17.76,TRY,-2.3102310231023,2022772,0.8623979197794264,2706406624,TRY,,-2.5596,TRY,-994.3396226415094,0,Enerji-dışı mineraller,Derecelendirme yok
PRZMA,PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,66.95,TRY,-2.688953488372085,3166905,0.9364465491944449,5307069474,TRY,,-0.0396,TRY,-9800.000000000002,0,Ticari hizmetler,Derecelendirme yok
PSDTC,PERGAMON STATUS DIŞ TİCARET A.Ş.,162.2,TRY,-3.9099526066350845,1076797,1.5157387128318873,1253340055,TRY,42.24178342622012,3.8398,TRY,-35.06392477846175,1.01465521327014,İşlenebilen endüstriler,Derecelendirme yok
PSGYO,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,3.67,TRY,-3.166226912928763,183128966,0.5404094582794987,26097362355,TRY,7.848588537211291,0.4676,TRY,-24.004550625711026,0.2688654353562,Finans,Derecelendirme yok
QNBFK,QNB Finansal Kiralama A.S.,44.44,TRY,-3.180827886710241,14706,0.3972565365259369,114750003815,TRY,49.00749889722099,0.9068,TRY,13.293353323338335,0,Finans,Derecelendirme yok
QNBTR,QNB Bank AS,192.1,TRY,-4.665012406947894,16111,1.1265094359411807,1108250000000,TRY,19.143571805833755,10.0347,TRY,35.80408980796039,0,Finans,Derecelendirme yok
QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,3.27,TRY,-2.6785714285714244,31499114,0.42909515520411223,8859324493,TRY,,-0.3804,TRY,64.14365161655198,0,Enerji-dışı mineraller,Derecelendirme yok
RALYH,RAL YATIRIM HOLDİNG A.Ş.,235.2,TRY,0.4269854824935952,2340242,0.7122416876751158,77882348460,TRY,24.61486939048895,9.5552,TRY,124.53238086286302,0,Endüstriyel hizmetler,Derecelendirme yok
RAYSG,RAY SİGORTA A.Ş.,159.3,TRY,-2.2699386503067416,127145,1.081866891529113,26580386322,TRY,6.770771349393904,23.5276,TRY,82.2573398404214,0,Finans,Derecelendirme yok
REEDR,Reeder Teknoloji Sanayi ve Ticaret A.S.,6.39,TRY,-10,72112063,4.598590265990769,6744999909,TRY,,-1.0918,TRY,-10.763924114842252,0,Teknoloji hizmetleri,Derecelendirme yok
RGYAS,RÖNESANS GAYRİMENKUL YATIRIM A.Ş.,201.4,TRY,1.7171717171717198,1369001,1.2986277148200445,65538000000,TRY,3.6281162798657562,55.5109,TRY,1477.955598510475,0.827972727272727,Finans,Güçlü al
RNPOL,RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,2.3,TRY,5.022831050228305,3308490,1.7498454435150987,1314000034,TRY,,-0.0983,TRY,-598.984771573604,0,Üretici imalatı,Derecelendirme yok
RODRG,RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,23.56,TRY,-1.7514595496246943,100349,0.4497803069114464,679593191,TRY,50.40650406504065,0.4674,TRY,,0,Dayanıklı olmayan tüketici ürünleri,Derecelendirme yok
RTALB,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,2.98,TRY,-1.6501650165016444,14922883,0.8181431886696298,1514999986,TRY,4.501510574018127,0.662,TRY,,0,Sağlık teknolojisi,Derecelendirme yok
RUBNS,RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,26.4,TRY,5.179282868525885,7394775,1.8166672685558125,2056944955,TRY,,-0.7194,TRY,26.154793676863058,0,İşlenebilen endüstriler,Derecelendirme yok
RUZYE,Ruzy Madencilik Ve Enerji Yatirimlari Sanayi Ve Ticaret A.S.,8.24,TRY,-0.7228915662650661,23417210,2.1828954684896593,2282500052,TRY,,-0.1644,TRY,-779.144385026738,0,İşlenebilen endüstriler,Derecelendirme yok
RYGYO,REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,40.8,TRY,1.1904761904761827,2594961,0.620787953231363,80498667750,TRY,4.7370804258728185,8.6129,TRY,1.3759416195856795,0,Finans,Derecelendirme yok
RYSAS,REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,25.02,TRY,8.782608695652172,24135021,1.6663974265129213,45908946167,TRY,15.031541003304294,1.6645,TRY,298.9693192713327,0,Taşımacılık,Derecelendirme yok
SAFKR,SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,21.46,TRY,4.682926829268297,3592951,1.3626376351994434,4100000000,TRY,29.776606077424727,0.7207,TRY,184.0756799369334,0,Üretici imalatı,Derecelendirme yok
SAHOL,HACI ÖMER SABANCI HOLDİNG A.Ş.,89.1,TRY,0.22497187851517278,30205242,0.861779936634218,186554092118,TRY,25.455688246385918,3.5002,TRY,,1.59005624296963,Finans,Güçlü al
SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,5.37,TRY,-1.467889908256882,873174,0.9200943008829597,612579987,TRY,16.776007497656984,0.3201,TRY,,0,Ticari hizmetler,Derecelendirme yok
SANEL,SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,75.05,TRY,0.06666666666666288,145800,0.7360636346701117,1369149971,TRY,5.246747436049803,14.3041,TRY,,0,Üretici imalatı,Derecelendirme yok
SANFM,SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,9.09,TRY,-2.98826040554962,2637089,0.43287526269159093,3513749957,TRY,133.08931185944363,0.0683,TRY,358.38926174496646,0.426894343649947,İşlenebilen endüstriler,Derecelendirme yok
SANKO,SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.,18.3,TRY,-2.347918890074695,507151,2.0464283912881194,2810999966,TRY,,-0.8447,TRY,16.150486400635305,0,İşlenebilen endüstriler,Derecelendirme yok
SARAE,SA-RA Enerji Insaat Ticaret ve Sanayi A.S.,78.55,TRY,-3.9143730886850183,43519948,1.0533379995552499,36337875000,TRY,,,,,,Endüstriyel hizmetler,Derecelendirme yok
SARKY,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,24.72,TRY,-0.3225806451612978,8014163,1.9049429506861564,24799999237,TRY,69.39921392476137,0.3562,TRY,21.569965870307183,1.42314919354839,Üretici imalatı,Derecelendirme yok
SASA,SASA POLYESTER SANAYİ A.Ş.,2.56,TRY,1.5873015873015885,2817691000,0.9128057254638986,132267081499,TRY,,-0.4816,TRY,-405.58375634517773,0,İşlenebilen endüstriler,Derecelendirme yok
